TANGGAL,TN,TX,TAVG,RR,SS,RH_AVG,BULAN,Hasil_KNN,Label_KNN,TN_norm,TX_norm,TAVG_norm,RR_norm,SS_norm,RH_AVG_norm,BULAN_norm,TN_norm_kemarin,TX_norm_kemarin,TAVG_norm_kemarin,SS_norm_kemarin,RH_AVG_norm_kemarin,Algoritma_Terpilih,Prediksi_Final_Cuaca,Label_Prediksi,Cluster_Iklim
2024-05-20,23.9,32.8,27.4,32.7,6.2,86.0,5.0,1,Hujan,0.7936507936507933,0.696078431372549,0.7656903765690373,0.2230559345156889,0.6262626262626263,0.5555555555555556,0.3636363636363636,0.73015873015873,0.6764705882352945,0.6652719665271966,0.7373737373737373,0.5873015873015873,Naive Bayes,0,Tidak Hujan,0
2024-05-21,24.0,33.0,27.9,17.450000000000003,4.2,86.0,5.0,1,Hujan,0.8095238095238094,0.7156862745098042,0.8493723849372381,0.119031377899045,0.4242424242424242,0.5555555555555556,0.3636363636363636,0.7936507936507933,0.696078431372549,0.7656903765690373,0.6262626262626263,0.5555555555555556,Naive Bayes,1,Hujan,1
2024-05-22,24.0,33.1,28.2,2.2,6.2,88.0,5.0,1,Hujan,0.8095238095238094,0.7254901960784317,0.8995815899581587,0.015006821282401,0.6262626262626263,0.6190476190476191,0.3636363636363636,0.8095238095238094,0.7156862745098042,0.8493723849372381,0.4242424242424242,0.5555555555555556,Naive Bayes,1,Hujan,1
2024-05-23,25.0,31.5,27.0,1.25,4.0,91.0,5.0,0,Tidak Hujan,0.9682539682539684,0.5686274509803925,0.6987447698744768,0.0085266030013642,0.404040404040404,0.7142857142857143,0.3636363636363636,0.8095238095238094,0.7254901960784317,0.8995815899581587,0.6262626262626263,0.6190476190476191,Naive Bayes,1,Hujan,1
2024-05-24,24.8,31.6,26.2,0.3,3.9,94.0,5.0,1,Hujan,0.9365079365079366,0.57843137254902,0.5648535564853553,0.0020463847203274,0.3939393939393939,0.8095238095238095,0.3636363636363636,0.9682539682539684,0.5686274509803925,0.6987447698744768,0.404040404040404,0.7142857142857143,Naive Bayes,1,Hujan,1
2024-05-25,24.0,32.3,25.6,146.6,2.6,93.0,5.0,1,Hujan,0.8095238095238094,0.6470588235294117,0.4644351464435146,1.0,0.2626262626262626,0.7777777777777778,0.3636363636363636,0.9365079365079366,0.57843137254902,0.5648535564853553,0.3939393939393939,0.8095238095238095,Naive Bayes,1,Hujan,1
2024-05-26,24.1,32.9,27.6,2.5,0.0,90.0,5.0,1,Hujan,0.8253968253968256,0.7058823529411765,0.799163179916318,0.0170532060027285,0.0,0.6825396825396826,0.3636363636363636,0.8095238095238094,0.6470588235294117,0.4644351464435146,0.2626262626262626,0.7777777777777778,Naive Bayes,1,Hujan,1
2024-05-27,24.0,34.2,27.8,2.4,4.3,84.0,5.0,0,Tidak Hujan,0.8095238095238094,0.8333333333333338,0.8326359832635982,0.0163710777626193,0.4343434343434343,0.492063492063492,0.3636363636363636,0.8253968253968256,0.7058823529411765,0.799163179916318,0.0,0.6825396825396826,Naive Bayes,1,Hujan,1
2024-05-28,23.4,33.8,28.3,2.3,7.2,84.0,5.0,1,Hujan,0.7142857142857139,0.7941176470588235,0.9163179916317992,0.0156889495225102,0.7272727272727273,0.492063492063492,0.3636363636363636,0.8095238095238094,0.8333333333333338,0.8326359832635982,0.4343434343434343,0.492063492063492,Naive Bayes,0,Tidak Hujan,0
2024-05-29,24.3,33.4,28.5,5.4,6.0,83.0,5.0,0,Tidak Hujan,0.8571428571428572,0.7549019607843138,0.9497907949790794,0.0368349249658935,0.6060606060606061,0.4603174603174603,0.3636363636363636,0.7142857142857139,0.7941176470588235,0.9163179916317992,0.7272727272727273,0.492063492063492,Naive Bayes,0,Tidak Hujan,0
