TANGGAL,TN,TX,TAVG,RR,SS,RH_AVG,BULAN,Hasil_KNN,Label_KNN,TN_norm,TX_norm,TAVG_norm,RR_norm,SS_norm,RH_AVG_norm,BULAN_norm,TN_norm_kemarin,TX_norm_kemarin,TAVG_norm_kemarin,SS_norm_kemarin,RH_AVG_norm_kemarin,Algoritma_Terpilih,Prediksi_Final_Cuaca,Label_Prediksi,Cluster_Iklim
2024-06-17,24.2,32.4,27.5,0.0,4.0,84.0,6.0,0,Tidak Hujan,0.5750000000000002,0.4749999999999996,0.5,0.0,0.4819277108433734,0.4871794871794871,0.4545454545454545,0.3250000000000002,0.375,0.5499999999999998,0.1204819277108433,0.282051282051282,Naive Bayes,0,Tidak Hujan,0
2024-06-18,24.6,32.4,27.6,23.0,2.8,86.0,6.0,1,Hujan,0.6750000000000007,0.4749999999999996,0.5250000000000004,0.1513157894736842,0.3373493975903614,0.5897435897435898,0.4545454545454545,0.5750000000000002,0.4749999999999996,0.5,0.4819277108433734,0.4871794871794871,Naive Bayes,1,Hujan,0
2024-06-19,24.0,31.2,27.3,13.0,3.5,86.0,6.0,1,Hujan,0.5250000000000004,0.1749999999999998,0.4500000000000002,0.0855263157894736,0.4216867469879518,0.5897435897435898,0.4545454545454545,0.6750000000000007,0.4749999999999996,0.5250000000000004,0.3373493975903614,0.5897435897435898,Naive Bayes,1,Hujan,0
2024-06-20,22.8,32.2,27.0,0.0,0.0,82.0,6.0,0,Tidak Hujan,0.2250000000000005,0.4250000000000007,0.375,0.0,0.0,0.3846153846153846,0.4545454545454545,0.5250000000000004,0.1749999999999998,0.4500000000000002,0.4216867469879518,0.5897435897435898,Naive Bayes,1,Hujan,0
2024-06-21,23.4,32.6,28.5,0.0,2.7,78.0,6.0,0,Tidak Hujan,0.375,0.5250000000000004,0.75,0.0,0.3253012048192771,0.1794871794871795,0.4545454545454545,0.2250000000000005,0.4250000000000007,0.375,0.0,0.3846153846153846,Naive Bayes,0,Tidak Hujan,0
2024-06-22,25.2,33.6,29.2,0.1,6.0,75.0,6.0,0,Tidak Hujan,0.8250000000000002,0.7750000000000004,0.9249999999999998,0.0006578947368421,0.7228915662650601,0.0256410256410256,0.4545454545454545,0.375,0.5250000000000004,0.75,0.3253012048192771,0.1794871794871795,Naive Bayes,0,Tidak Hujan,1
2024-06-23,25.9,31.2,27.8,0.1,5.0,79.0,6.0,0,Tidak Hujan,1.0,0.1749999999999998,0.5750000000000002,0.0006578947368421,0.6024096385542168,0.2307692307692307,0.4545454545454545,0.8250000000000002,0.7750000000000004,0.9249999999999998,0.7228915662650601,0.0256410256410256,Naive Bayes,0,Tidak Hujan,1
2024-06-24,24.2,31.8,27.6,0.1,0.3,83.0,6.0,1,Hujan,0.5750000000000002,0.3250000000000002,0.5250000000000004,0.0006578947368421,0.036144578313253,0.4358974358974359,0.4545454545454545,1.0,0.1749999999999998,0.5750000000000002,0.6024096385542168,0.2307692307692307,Naive Bayes,0,Tidak Hujan,0
2024-06-25,24.2,32.4,28.5,0.1,5.9,80.0,6.0,0,Tidak Hujan,0.5750000000000002,0.4749999999999996,0.75,0.0006578947368421,0.7108433734939759,0.282051282051282,0.4545454545454545,0.5750000000000002,0.3250000000000002,0.5250000000000004,0.036144578313253,0.4358974358974359,Naive Bayes,0,Tidak Hujan,0
2024-06-26,25.4,30.6,27.2,0.0,7.0,86.0,6.0,1,Hujan,0.875,0.0250000000000003,0.4249999999999998,0.0,0.8433734939759036,0.5897435897435898,0.4545454545454545,0.5750000000000002,0.4749999999999996,0.75,0.7108433734939759,0.282051282051282,Naive Bayes,1,Hujan,1
2024-06-27,24.0,32.6,28.1,1.0,0.0,82.0,6.0,1,Hujan,0.5250000000000004,0.5250000000000004,0.6500000000000004,0.006578947368421,0.0,0.3846153846153846,0.4545454545454545,0.875,0.0250000000000003,0.4249999999999998,0.8433734939759036,0.5897435897435898,Naive Bayes,1,Hujan,0
2024-06-28,24.6,31.6,27.7,3.5,4.0,82.0,6.0,0,Tidak Hujan,0.6750000000000007,0.2750000000000003,0.5499999999999998,0.0230263157894736,0.4819277108433734,0.3846153846153846,0.4545454545454545,0.5250000000000004,0.5250000000000004,0.6500000000000004,0.0,0.3846153846153846,Naive Bayes,1,Hujan,0
2024-06-29,24.4,31.8,26.6,0.0,0.8,89.0,6.0,0,Tidak Hujan,0.625,0.3250000000000002,0.2750000000000003,0.0,0.0963855421686746,0.7435897435897436,0.4545454545454545,0.6750000000000007,0.2750000000000003,0.5499999999999998,0.4819277108433734,0.3846153846153846,Naive Bayes,1,Hujan,0
2024-06-30,23.6,31.6,28.1,3.0,3.0,84.0,6.0,1,Hujan,0.4250000000000007,0.2750000000000003,0.6500000000000004,0.0197368421052631,0.36144578313253,0.4871794871794871,0.4545454545454545,0.625,0.3250000000000002,0.2750000000000003,0.0963855421686746,0.7435897435897436,Naive Bayes,1,Hujan,0
2024-07-01,24.8,32.0,26.9,0.0,5.3,88.0,7.0,0,Tidak Hujan,0.7250000000000005,0.375,0.3499999999999996,0.0,0.6385542168674698,0.6923076923076923,0.5454545454545454,0.4250000000000007,0.2750000000000003,0.6500000000000004,0.36144578313253,0.4871794871794871,Naive Bayes,1,Hujan,0
2024-07-02,24.0,32.4,27.4,17.6,0.5,84.0,7.0,1,Hujan,0.5250000000000004,0.4749999999999996,0.4749999999999996,0.1157894736842105,0.0602409638554216,0.4871794871794871,0.5454545454545454,0.7250000000000005,0.375,0.3499999999999996,0.6385542168674698,0.6923076923076923,Naive Bayes,1,Hujan,0
2024-07-03,24.0,30.5,25.7,80.5,0.6,90.0,7.0,1,Hujan,0.5250000000000004,0.0,0.0499999999999998,0.5296052631578947,0.072289156626506,0.7948717948717948,0.5454545454545454,0.5250000000000004,0.4749999999999996,0.4749999999999996,0.0602409638554216,0.4871794871794871,Naive Bayes,1,Hujan,0
2024-07-04,21.9,31.8,26.4,4.0,0.7,90.0,7.0,1,Hujan,0.0,0.3250000000000002,0.2249999999999996,0.0263157894736842,0.0843373493975903,0.7948717948717948,0.5454545454545454,0.5250000000000004,0.0,0.0499999999999998,0.072289156626506,0.7948717948717948,Naive Bayes,1,Hujan,0
2024-07-05,23.2,31.6,27.5,1.5,0.9,84.0,7.0,1,Hujan,0.3250000000000002,0.2750000000000003,0.5,0.0098684210526315,0.108433734939759,0.4871794871794871,0.5454545454545454,0.0,0.3250000000000002,0.2249999999999996,0.0843373493975903,0.7948717948717948,Naive Bayes,1,Hujan,0
2024-07-06,24.6,32.2,27.9,0.0,4.3,81.0,7.0,0,Tidak Hujan,0.6750000000000007,0.4250000000000007,0.5999999999999996,0.0,0.5180722891566264,0.3333333333333333,0.5454545454545454,0.3250000000000002,0.2750000000000003,0.5,0.108433734939759,0.4871794871794871,Naive Bayes,0,Tidak Hujan,0
2024-07-07,24.8,30.5,26.5,6.0,4.2,85.0,7.0,0,Tidak Hujan,0.7250000000000005,0.0,0.25,0.0394736842105263,0.5060240963855421,0.5384615384615384,0.5454545454545454,0.6750000000000007,0.4250000000000007,0.5999999999999996,0.5180722891566264,0.3333333333333333,Naive Bayes,1,Hujan,0
2024-07-09,23.0,31.0,26.5,2.0,0.7,87.0,7.0,0,Tidak Hujan,0.2750000000000003,0.125,0.25,0.0131578947368421,0.0843373493975903,0.6410256410256411,0.5454545454545454,0.7250000000000005,0.0,0.25,0.5060240963855421,0.5384615384615384,Naive Bayes,1,Hujan,0
2024-07-10,23.4,33.0,28.5,0.1,1.5,74.5,7.0,0,Tidak Hujan,0.375,0.625,0.75,0.0006578947368421,0.180722891566265,0.0,0.5454545454545454,0.2750000000000003,0.125,0.25,0.0843373493975903,0.6410256410256411,Naive Bayes,0,Tidak Hujan,0
2024-07-11,22.8,32.0,29.1,0.1,2.3,74.5,7.0,0,Tidak Hujan,0.2250000000000005,0.375,0.9000000000000004,0.0006578947368421,0.2771084337349397,0.0,0.5454545454545454,0.375,0.625,0.75,0.180722891566265,0.0,Naive Bayes,0,Tidak Hujan,0
2024-07-12,23.2,33.0,26.5,0.1,1.0,79.0,7.0,0,Tidak Hujan,0.3250000000000002,0.625,0.25,0.0006578947368421,0.1204819277108433,0.2307692307692307,0.5454545454545454,0.2250000000000005,0.375,0.9000000000000004,0.2771084337349397,0.0,Naive Bayes,0,Tidak Hujan,0
2024-07-13,22.4,30.5,26.0,0.0,4.5,88.0,7.0,1,Hujan,0.125,0.0,0.125,0.0,0.5421686746987951,0.6923076923076923,0.5454545454545454,0.3250000000000002,0.625,0.25,0.1204819277108433,0.2307692307692307,Naive Bayes,1,Hujan,0
2024-07-14,23.0,32.6,27.2,0.1,1.0,79.0,7.0,0,Tidak Hujan,0.2750000000000003,0.5250000000000004,0.4249999999999998,0.0006578947368421,0.1204819277108433,0.2307692307692307,0.5454545454545454,0.125,0.0,0.125,0.5421686746987951,0.6923076923076923,Naive Bayes,1,Hujan,0
2024-07-15,23.0,33.2,27.4,91.5,3.7,84.0,7.0,0,Tidak Hujan,0.2750000000000003,0.6750000000000007,0.4749999999999996,0.6019736842105263,0.4457831325301205,0.4871794871794871,0.5454545454545454,0.2750000000000003,0.5250000000000004,0.4249999999999998,0.1204819277108433,0.2307692307692307,Naive Bayes,0,Tidak Hujan,0
2024-07-16,23.4,32.8,26.8,33.5,6.7,88.0,7.0,1,Hujan,0.375,0.5749999999999993,0.3250000000000002,0.2203947368421052,0.8072289156626505,0.6923076923076923,0.5454545454545454,0.2750000000000003,0.6750000000000007,0.4749999999999996,0.4457831325301205,0.4871794871794871,Naive Bayes,1,Hujan,1
